Type;Link;First-Shared
fake;[Indiaís own COVID-19 tracing mobile app, @SetuAarogya, is one of the most downloaded applications of the nation during the lockdown.](https://twitter.com/_digitalindia/status/1263508703224819712);21/05/2020
fake;[PubMed](http://pubmed.gov);22/07/2020
fake;[Mythbusters](https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public/myth-busters);
fake;[An Effective Treatment for Coronavirus (COVID-19)_](https://docs.google.com/document/d/e/2pacx-1vti-g18ftnzumraj2swrpodtscfio7bj7gdngbjagbdff67wurjb3zsidgpidb2eocfhavjil-7dej7/pub);12/02/2020
fake;[How the World Bank Group is helping countries with COVID-19 (coronavirus)](https://bit.ly/39vehnw);13/03/2020
fake;[Coronavirus Can Be Stopped Only by Harsh Steps, Experts Say - The New York Times](https://www.nytimes.com/2020/03/22/health/coronavirus-restrictions-us.html);16/03/2020
fake;[Rudy Giuliani's Common Sense](http://rudygiulianics.com);29/03/2020
fake;[30 million doses of hydroxychloroquine sulfate donated by Sandoz and 1 million doses of chloroquine phosphate donated by Bayer.](https://twitter.com/secazar/status/1244445179521744899);30/03/2020
fake;[gov.ie - Department of Housing, Local Government and Heritage](https://www.housing.gov.ie/planning/covid-19-coronavirus/public-participation-period-planning-system-extended);30/03/2020
fake;[Medtronic to share ventilator designs](https://www.rte.ie/news/business/2020/0330/1127365-medtronic-to-share-ventilator-designs/);30/03/2020
fake;[El Coronavirus en Colombia](http://www.coronaviruscolombia.gov.co);31/03/2020
partiallyfalse;[167 people of Tabligi Jamaat Nizamuddin reached Tughalakabad Quarantine Centre in 5 buses at 2140 hrs y'day.](https://twitter.com/ani/status/1245348753705504768);01/04/2020
partiallyfalse;[Â∏É„Éû„Çπ„ÇØ„ÅØÊúâÂäπÔºü„ÄÄWHO„ÅØ„Äå„Å©„Çì„Å™Áä∂Ê≥Å„Åß„ÇÇÂãß„ÇÅ„Å™„ÅÑ„Äç [Êñ∞Âûã„Ç≥„É≠„Éä„Ç¶„Ç§„É´„Çπ]ÔºöÊúùÊó•Êñ∞ËÅû„Éá„Ç∏„Çø„É´](http://www.asahi.com/articles/asn424d52n42ulbj003.html?ref=tw_asahi);02/04/2020
fake;[PM @narendramodi #IndiaFightsCorona](https://twitter.com/pmoindia/status/1245918482861936640);03/04/2020
fake;[Barcelona quiere evitar el colapso funerario de Madrid](https://www.lavanguardia.com/vida/20200402/48267075307/barcelona-quiere-evitar-colapso-funerario-madrid.html);03/04/2020
fake;"[Lobliner: ""With this finding, how many deaths are mis-counted for funding purposes?""](https://twitter.com/marclobliner/status/1246551864621109248)";04/04/2020
fake;[Coronavirus ‚Äì gob.mx](http://www.coronavirus.gob.mx);05/04/2020
fake;[Queen delivers message of hope to UK amid virus outbreak](https://inq.news/queenmessage);06/04/2020
fake;[Attestation de dÈplacement dÈrogatoire](https://media.interieur.gouv.fr/deplacement-covid-19/index.html);06/04/2020
fake;[[Fake News Alert] News That No Person Apart From Govt Is Allowed To Share Or Post COVID-19 Updates Is False](https://www.livelaw.in/top-stories/fake-news-alert-news-that-no-person-apart-from-govt-is-allowed-to-share-or-post-covid-19-updates-is-false-154767);06/04/2020
partiallyfalse;[Est·s son algunas de las presuntas muertes por infarto en Caracas en esta semana.](https://twitter.com/fantasma_956/status/1247188570856665090?s=19);06/04/2020
fake;"[Augusto de Franco: ""Olhem a lama do fundo do poÁo que est· subindo com Bolsonaro. … grave! … criminoso!""](https://twitter.com/augustodefranco/status/1247484403430891521)";07/04/2020
fake;[Finance chief sees zero to negative economic growth in 2020 as COVID-19 hits PH hard](https://inq.news/economicgrowth0409);09/04/2020
fake;[Dead man lies on an empty street at China's virus ground zero](http://u.afp.com/3ox7);31/01/2020
partiallyfalse;[Info Coronavirus Covid-19  | Gouvernement.fr](https://www.gouvernement.fr/info-coronavirus);26/02/2020
fake;[#newnormal #shedecides](https://twitter.com/sarahelago/status/1234026169311215616);01/03/2020
fake;[Ministerio de Sanidad, Consumo y Bienestar Social - Profesionales - Situaci√≥n actual Coronavirus](https://www.mscbs.gob.es/profesionales/saludpublica/ccayes/alertasactual/ncov-china/situacionactual.htm);06/03/2020
fake;[Video su YouTube](https://www.youtube.com/watch?v=pkyx-fyfbgo);18/03/2020
partiallyfalse;[Coronavirus pandemic](https://twitter.com/norbertelekes/status/1240268161578151936);18/03/2020
fake;[Video su YouTube](https://bit.ly/33zr22o);21/03/2020
partiallyfalse;"[La Provence: ""Ce n'est pas moi qui suis bizarre, ce sont les gens qui sont ignorants. On ne va pas m'apprendre la toxicitÈ de ce mÈdicament.""](https://twitter.com/laprovence/status/1241318809325187072)";22/03/2020
fake;[Tucker Carlson Tonight | March 23, 2020 - Dan Patrick, Lieutenant Governor](https://bit.ly/2ugdxhg);24/03/2020
fake;[#StayAtHomeSaveLives  #CoronaFreePakistan](https://twitter.com/khadijasid751/status/1242143695157288962);24/03/2020
fake;[Coronavirus Outbreak in India - covid19india.org](https://www.covid19india.org/faqs);25/03/2020
fake;[Coronavirus Australia: New COVID-19 tests producing results in 15 minutes from a drop of blood set to arrive | 7NEWS.com.au](https://7news.link/2uzgg8r);26/03/2020
partiallyfalse;[FRENTE al CORONAVIRUS las TELECOM est√°n DE TU LADO | Instituto Federal de Telecomunicaciones - IFT](http://www.ift.org.mx/comunicacion-y-medios/frente-al-coronavirus-las-telecom-estan-de-tu-lado);26/03/2020
partiallyfalse;[Coronavirus disease (COVID-19): Tobacco](http://bit.ly/33jfvo0);26/03/2020
fake;[anses.gob.ar](http://anses.gob.ar);27/03/2020
fake;[COVID-19: El Gobierno implementar· el Ingreso Familiar de Emergencia (IFE) para aliviar la situaciÛn de los trabajadores m·s afectados por la emergencia | Argentina.gob.ar](https://bit.ly/medidasife);27/03/2020
fake;[Home - Johns Hopkins Coronavirus Resource Center](https://coronavirus.jhu.edu);28/03/2020
fake;[WHO | World Health Organization](http://www.who.int);30/03/2020
fake;[MinistËre de la SantÈ](http://www.sante.gov.dz);30/03/2020
fake;[covid19.sante.gov.dz](http://covid19.sante.gov.dz);30/03/2020
fake;[PIB Delhi](https://pib.gov.in/pressreleasepage.aspx?prid=1609360#);30/03/2020
fake;[Coronavirus Tax Relief](http://www.irs.gov/coronavirus);11/04/2020
fake;"[South African Gov: ""[Watch Live] @HealthZA Minister @DrZweliMkhize receives medical supplies from China to combat #COVID19SA""](https://www.pscp.tv/w/cwrludflzgpute5sthlxuw98mux5eejouxzyvlb4tosd9szqivafftw3bmvc0vnbthatblk17vxhirnycwkc?t=45m18s)";14/04/2020
partiallyfalse;[Media briefing on #COVID19 with @DrTedros](https://twitter.com/who/status/1268212303092162561?s=20);03/06/2020
fake;[Labor del Centro Nacional de EpidemiologÌa del ISCIII en investigaciÛn y manejo de la pandemia](https://bit.ly/2bf6is2);28/06/2020
fake;[Daily media briefing on #2019nCoV with @DrTedros](https://twitter.com/who/status/1227248333871173632?s=20);11/02/2020
fake;[CÛmo diferenciar a un cobrador de deudas legÌtimo de los estafadores](https://go.usa.gov/xddka);28/02/2020
fake;[@CDCgov does not currently recommend the general public use respirators for #COVID19.](https://twitter.com/niosh/status/1233465410017730560);28/02/2020
fake;[A whole Roman neighborhood singing a popular Italian song ìVolareî from their balconies and waving at each other. ](https://twitter.com/jennavehvi/status/1238515371063357440);15/03/2020
fake;['Libres y Lokos' que viajaron a NY para apoyar a #Tigres presentan sÌntomas de #Coronavirus.](https://twitter.com/telediariomty/status/1239971370278121473);17/03/2020
partiallyfalse;[Government response updates: Trump says FEMA now coordinating, touts possible drug treatments - ABC News](https://abcn.ws/3bd3bo2);19/03/2020
partiallyfalse;[@AlHadath](https://twitter.com/alhadath/status/1240963799198224385);20/03/2020
fake;[@Aadiiroy](https://twitter.com/aadiiroy/status/1240956739484299265);20/03/2020
partiallyfalse;[Video su YouTube](http://www.youtube.com/watch?v=9lohh2xjsrw);22/03/2020
partiallyfalse;[EMERGENCY ORDER #12 SAFER AT HOME ORDER](https://evers.wi.gov/documents/covid19/emo12-saferathome.pdf);24/03/2020
fake;[Coronavirus Outbreak in India - covid19india.org](http://www.covid19india.org);25/03/2020
fake;[@unicefindia](https://www.tiktok.com/@unicefindia/video/6806253351269879041);26/03/2020
fake;[What to Do If You Are Sick  | CDC](https://www.cdc.gov/coronavirus/2019-ncov/if-you-are-sick/steps-when-sick.html);28/03/2020
partiallyfalse;[Video su YouTube](https://youtu.be/orzgeaodp6c);05/06/2020
fake;[I Will Vote](http://iwillvote.com);03/03/2020
fake;[Trump's national security adviser says China 'covered up' coronavirus | TheHill](https://thehill.com/homenews/administration/487011-trumps-national-security-adviser-says-china-covered-up-coronavirus?amp=&from=groupmessage);12/03/2020
fake;[Health information for the Stanford community](http://healthalerts.stanford.edu);13/03/2020
fake;[Advice for the public](https://www.who.int/emergencies/diseases/novel-coronavirus-2019/advice-for-public);13/03/2020
fake;[NCDC Coronavirus COVID-19 Microsite](http://covid19.ncdc.gov.ng);15/03/2020
fake;"[GastÈ: ""#coronavirus Quelquíun aurait une idÈe de ce que cela signifie ? ""](https://twitter.com/catherinegaste/status/1239351254637297665)";16/03/2020
fake;[Ante la apariciÛn del coronavirus, surgieron muchas fake news.](https://twitter.com/enacomargentina/status/1239668697079431169);17/03/2020
fake;[I got this forward message through WhatsApp. Could you please review it?](https://twitter.com/dharmarajrajesh/status/1240248727538819073);18/03/2020
fake;[Hydroxychloroquine and azithromycin as a treatment of COVID-19.pdf - Google Drive](https://drive.google.com/file/d/186bel9rqfsmex55fdum4xy_ilwshngbj/view?usp=sharing);18/03/2020
fake;[My 8-year old son Michael was asked to write a letter to anyone. He chose to write to you.](https://twitter.com/dave_kellerman/status/1240453979131252736);19/03/2020
fake;"[Modi: ""Will you all help? #IndiaFightsCorona""](https://twitter.com/narendramodi/status/1240678191116595202)";20/03/2020
partiallyfalse;[#koronawirusem](https://twitter.com/radiozet_news/status/1240760994269446144);20/03/2020
fake;[This video was taken in Barrington IL (NW suburb of Chicago) about 3 hours ago.](https://twitter.com/biancoresearch/status/1240833664801538049);21/03/2020
fake;[yomequedoencasa.pe](http://yomequedoencasa.pe);22/03/2020
fake;[yomequedoencasa.midis.gob.pe](http://yomequedoencasa.midis.gob.pe);22/03/2020
fake;[Health Commission has selected our product among those used in the fight vs #coronavirus.](https://twitter.com/embacubachina/status/1225073952730558465);06/02/2020
fake;[InterferÛn alfa 2B: El medicamento cubano usado en China contra el coronavirus > Mundo > Granma - Ûrgano oficial del PCC](http://www.granma.cu/mundo/2020-02-07/interferon-alfa-2b-el-medicamento-cubano-usado-en-china-contra-el-coronavirus-06-02-2020-10-02-56);07/02/2020
fake;[Coronavirus - gob.mx](http://bit.ly/31envmx);04/03/2020
partiallyfalse;[La Cina approva l'uso di tocilizumab contro le complicanze del coronavirus](https://www.aboutpharma.com/blog/2020/03/04/la-cina-approva-luso-di-tocilizumab-contro-le-complicanze-del-coronavirus/);06/03/2020
fake;[Coronavirus, riduzione pensioni Inps? E' fake news, fate attenzione!](https://twitter.com/umbriajournal_/status/1237392224331022337);10/03/2020
fake;[A batch of medical supplies have arrived in Belgium.](https://twitter.com/spokespersonchn/status/1237756103049371648);12/03/2020
fake;"[Montero: ""Mentir y manipular no es periodismo.""](https://twitter.com/irenemontero/status/1238436348165599232)";13/03/2020
fake;[Two more cases tested positive of #COVID19 moved to @KNH_hospital, H.E President Uhuru Kenyatta has announced #covid19kenya #StayHomeSaveLives #StayHome](https://twitter.com/moh_kenya/status/1239202278004985859);15/03/2020
fake;[Confirmamos 10 nuevos casos de coronavirus en el paÌs.](https://twitter.com/minsaludcol/status/1239191667003011072);15/03/2020
partiallyfalse;[Corona-Krise: Aktuelle Informationen zum Bezug unserer Leistungen - Bundesagentur f¸r Arbeit](https://www.arbeitsagentur.de/corona-virus-aktuelle-informationen);16/03/2020
partiallyfalse;[Australian Government Department of Health](http://health.gov.au);17/03/2020
fake;[Coronavirus en Colombia y el mundo - Noticias Caracol](https://buff.ly/2qjgcj0);17/03/2020
partiallyfalse;[@AbiyAhmedAli](https://twitter.com/abiyahmedali/status/1247814586830671873);08/04/2020
partiallyfalse;[WHO | Non-pharmaceutical public health measures for mitigating the risk and impact of epidemic and pandemic influenza](https://www.who.int/influenza/publications/public_health_measures/publication/en/);06/06/2020
fake;[Wearing a cloth face covering in public slows the spread of #COVID19 and shows you care about the health of your community.](https://twitter.com/hhsgov/status/1262802706646827008);28/06/2020
fake;[Wearing face coverings in most non medical situations isnít to protect healthy wearers from #COVID19 -itís to keep people w/ virus from spreading it to others.](https://twitter.com/surgeon_general/status/1260534993744470017?s=21);13/07/2020
fake;[Sponsor a Child in Need | Children International | Kids Charity Organization  | Child Sponsorship in Africa, India, South America, & USA](http://children.org);20/08/2020
fake;[Hoax Alert: Viral 'Emergency Notification' On Coronavirus Is Fake](https://www.boomlive.in/health/hoax-alert-viral-emergency-notification-on-coronavirus-is-fake-6682);30/01/2020
fake;[White House threatens to veto House bill to aid Puerto Rico earthquake recovery | TheHill](https://thehill.com/homenews/administration/481697-white-house-threatens-to-veto-house-bill-to-aid-puerto-rico);05/02/2020
fake;[Pentagon officials stunned by White House decision to block Ukraine aid, new emails show - CNNPolitics](https://www.cnn.com/2020/02/05/politics/emails-pentagon-alarm-ukraine-aid/index.html);06/02/2020
fake;[Senegal reports first COVID-19 case | WHO | Regional Office for Africa](https://bit.ly/38jvm22);02/03/2020
partiallyfalse;[PLA medics are not testing... - People's Daily, China | Facebook](http://bit.ly/2pnvqkm);05/03/2020
fake;"[Cyril Ramaphosa: ""#CoronaVirusSA""](https://www.pscp.tv/w/cs_ohdf4a1feqkxttlbsanp8mu95skfza25fzfdkyvsdy6f1y1d9ohntlpnuw-imj58n3udacrbks-xd9dln)";05/03/2020
fake;[Misinformation during a health crisis can spread fear and stigmatization.](https://twitter.com/unicef/status/1236052592825896960);07/03/2020
fake;[How the Trump administration squandered time and lost control of the coronavirus crisis - The Washington Post](https://www.washingtonpost.com/politics/trump-coronavirus-response-squandered-time/2020/03/07/5c47d3d0-5fcb-11ea-9055-5fa12981bbbf_story.html);07/03/2020
fake;[A dÌa de hoy es FALSO que se vayan a cerrar guarderÌas, colegios y universidades en Castilla y LeÛn a causa del #coronavirus.](https://twitter.com/emergenciaavila/status/1237270755529961473?s=19);10/03/2020
fake;[Coronavirus : ApeurÈs, les italiens fuient vers líAfrique: Ils Èvoquent le tourisme comme motif de dÈpart.](https://twitter.com/237online/status/1236951127502938112);10/03/2020
fake;[Comunicado de la Universidad Pablo de Olavide ante la informaciÛn falsa que circula on line sobre el cierre de la  instituciÛn - DUPO - Diario de la Universidad Pablo de Olavide](https://www.upo.es/diario/institucional/2020/03/comunicado-de-la-universidad-pablo-de-olavide-ante-la-informacion-falsa-que-circula-on-line-sobre-el-cierre-de-la-institucion/);10/03/2020
fake;[ La @uclm_es celebrar· la convocatoria ordinaria de la EvAU los dÌas 3, 4 y 5 de junio.](https://twitter.com/gobjccm/status/1237063142330511360);10/03/2020
fake;[Video su YouTube](https://m.youtube.com/watch?v=do-gm1obw3s);10/03/2020
fake;[Daniel Radcliffe Coronavirus Fake News, He Does Not Have COVID-19 ](https://www.buzzfeednews.com/article/janelytvynenko/daniel-radcliffe-does-not-have-coronavirus);10/03/2020
fake;[Assessore Gallera: Velocit‡ contagio da Coronavirus impressionante, Ë una corsa contro il tempo](https://www.fanpage.it/attualita/coronavirus-assessore-gallera-velocita-del-contagio-impressionante-e-una-corsa-contro-il-tempo/);10/03/2020
fake;[7 simple steps to protect yourself and others from COVID-19 | by World Health Organization | World Health Organization | Medium](http://bit.ly/337yabc);11/03/2020
fake;[Cadena SER desmiente la noticia de casos de coronavirus en Cuenca | Radio 90 Motilla  | Cadena SER](https://buff.ly/2w4bzx2);11/03/2020
fake;[Coronavirus disease (COVID-19): What parents should know | UNICEF Kenya](https://www.unicef.org/kenya/stories/novel-coronavirus-outbreak-what-parents-should-know);12/03/2020
fake;[Irekia Eusko Jaurlaritza - Gobierno Vasco :: Agenda](http://ow.ly/xp0x30qpexi);12/03/2020
fake;[Resegone Online - notizie da Lecco e provincia ¬ª In soccorso della Lombardia anche medici venezuelani ](http://www.resegoneonline.it/articoli/in-soccorso-della-lombardia-anche-medici-venezuelani-20200314/#.xm1bhp1ejtk.twitter);14/03/2020
fake;[En el cepo, asÌ≠ castigÛ la guardia indÌgena Zen˙ a infractores de la cuarentena - LARAZON.CO](https://bit.ly/2xbqxiw);02/04/2020
fake;[Latest breaking news headlines | 7NEWS.com.au](http://7news.com.au);29/04/2020
fake;[Diputado De Grazia reportÛ posible caso del coronavirus en Venezuela - AlbertoNews - Periodismo sin censura](https://albertonews.com/nacionales/ultima-hora-reportan-primer-caso-del-coronavirus-en/);23/01/2020
fake;[Chinese researcher escorted from infectious disease lab amid RCMP investigation | CBC News](https://www.cbc.ca/news/canada/manitoba/chinese-researcher-escorted-from-infectious-disease-lab-amid-rcmp-investigation-1.5211567);25/01/2020
partiallyfalse;[Looks like they are trying to distance themselves but this entire thing reeks of a planned event.](https://twitter.com/oliverswilde/status/1221083419972636673);25/01/2020
fake;[Nike Name And Number (Brasil CBF / Neymar Jr) Men's T-Shirt Size 2XL (Yellow)](http://bit.ly/2u0ii9k);27/01/2020
fake;"[Metro: ""Saya nafikan anak saya meninggal dunia kerana koronavirus.""](https://twitter.com/hmetromy/status/1222074763859771392)";28/01/2020
fake;[#Breaking: As of 18:00 Wednesday total confirmed cases of #novelcoronavirus reached 6,078 nationwide: state TV](https://twitter.com/globaltimesnews/status/1222468594253979649);29/01/2020
fake;[€åÿßŸÅÿ™Ÿá ÿ¨ÿØ€åÿØ ÿØÿ±ÿ®ÿßÿ±Ÿá ⁄©ÿ±ŸàŸÜÿß: ⁄©ŸàÿØ⁄©ÿßŸÜ ŸÖÿ®ÿ™ŸÑÿß ŸÜŸÖ€å‚Äåÿ¥ŸàŸÜÿØ | ÿ≥ÿß€åÿ™ ÿßŸÜÿ™ÿÆÿßÿ® ](http://entekhab.ir/002d2h);30/01/2020
fake;"[Sariaslan: ""This is too much of an ask, Iím afraid.""](https://twitter.com/amirsariaslan/status/1222907407770226690)";30/01/2020
fake;[auspice](https://nextstrain.org/groups/blab/sars-like-cov);31/01/2020
fake;[Uncanny similarity of unique inserts in the 2019-nCoV spike protein to HIV-1 gp120 and Gag.](https://twitter.com/biorxivpreprint/status/1223245639296978951);31/01/2020
fake;[Video su YouTube](https://youtu.be/gs-xdtsjcbo);03/02/2020
fake;['Tidal wave of voter suppression' washes over states, lawyer says](https://www.nbcnews.com/news/nbcblk/presidential-voting-season-tidal-wave-voter-suppression-washing-over-multiple-n1128041);
fake;[Brooklyn park to be renamed after trans activist Marsha P. Johnson](https://www.nbcnews.com/feature/nbc-out/brooklyn-park-be-renamed-after-trans-activist-marsha-p-johnson-n1128441);
fake;[ìI have also made an ironclad pledge to American families. We will always protect patients with preexisting conditions.î](https://twitter.com/voxdotcom/status/1224902988629708802);
fake;[Cheating death: China's Wuhan coronavirus survivors recall ordeal - Cheating death: China's Wuhan coronavirus survivors recall ordeal](https://ab-tc.com/china-seek-for-courts-approval-to-kill-the-over-20000-coronavirus-patients-to-avoid-further-spread-of-the-virus/);
fake;[@mdfujita](https://twitter.com/mdfujita/status/1226102497607081984);05/02/2020
fake;[‰∏≠ÂõΩ„ÄåÊñ∞ÂûãËÇ∫ÁÇé„ÄÅÈ£õÊ≤´„ÉªÊé•Ëß¶„ÅÆ„Åª„Åã„Ç®„Ç¢„É≠„Çæ„É´ÈÄö„Åò„ÅüÊÑüÊüìÂèØËÉΩ„Äç | Joongang Ilbo | ‰∏≠Â§ÆÊó•Â†±](https://s.japanese.joins.com/jarticle/262351);06/02/2020
partiallyfalse;[Coronavirus (COVID-19): guidance and support - GOV.UK](https://www.gov.uk/coronavirus);06/02/2020
fake;"[Who: ""LIVE daily media briefing on #COVID19 with @DrTedros #coronavirus""](https://www.pscp.tv/w/csvnuti2mtaymhwxcm14uefwtndnaktotlvlqg6st4vzrnhc7-z2looiokjuwhqfdw55klrqxqc=)";06/02/2020
fake;[To protect yourself from #COVID19, avoid being exposed to the virus and use everyday prevention action to prevent the spread of respiratory virus.](https://twitter.com/cdcgov/status/1233490807182651392);08/02/2020
partiallyfalse;[Coronavirus - Hotels for heroes safe stay for essential personnel](https://www.khon2.com/coronavirus/hotels-for-heroes-safe-stay-for-essential-personnel/);09/02/2020
fake;[Instituto de Salud P˙blica de Chile](http://www.ispch.cl/noticia/29927);02/03/2020
fake;[Fondation Panzi](http://fondationpanzirdc.org);02/03/2020
fake;[Panzi Hospital and Foundations](http://panzifoundation.org);02/03/2020
fake;[Hopital de Panzi - Docteur Mukwege](http://hopitaldepanzi.org);05/04/2020
fake;[Home - Dr. Denis Mukwege Foundation](http://mukwegefoundation.org);08/04/2020
fake;[Video su YouTube](https://youtu.be/i8retuy73ho);18/06/2020
partiallyfalse;[Oscar Launches First Testing Center Locator for COVID-19](https://www.prnewswire.com/news-releases/oscar-launches-first-testing-center-locator-for-covid-19-301023288.html);14/03/2020
partiallyfalse;[Kroger asking workers to return some of the extra pay they received.](https://twitter.com/laborseller/status/1262509741676298242);19/05/2020
fake;"[McCarthy: ""Instead of putting America first, she is putting politics first.""](https://twitter.com/gopleader/status/1234924508500447234)";03/03/2020
partiallyfalse;[@ParveenKaswan Parveen bhai,pl kindly cud you confirm if this info is correct.](https://twitter.com/tmnarayan/status/1243491290391740418);27/03/2020
partiallyfalse;[Last month was the first March without a school shooting in the United States since 2002.](https://twitter.com/robertklemko/status/1249716012599083010);14/04/2020
partiallyfalse;[Border agents seize bag of tiny dead birds | Daily Mail Online](https://trib.al/uec1tov);11/02/2020
partiallyfalse;[This is HUGE! Our Take on Microsoft's Filing of Patent #060606](https://www.bitchute.com/video/wzupvreyukzq/);18/04/2020
fake;[Statement about nCoV and our pandemic exercise](https://bit.ly/2tsdsp5);25/01/2020
fake;[Bay Area orders 'shelter in place,' only essential businesses open in 6 counties](https://www.sfchronicle.com/local-politics/article/bay-area-must-shelter-in-place-only-15135014.php);16/03/2020
partiallyfalse;[Photos of China coronavirus particles under the microscope | Daily Mail Online](https://trib.al/bjka3tq);27/01/2020
partiallyfalse;[Wuhan, China's coronavirus epicentre, has SARS and Ebola lab | Daily Mail Online](https://mol.im/a/7922379);25/01/2020
