Long,Lat,Text,Count
-122.1238767,47.6694141,"Redmond, King County, Washington, United States",2
-73.9495823,40.6501038,"Brooklyn, Kings County, New York, United States",15
-90.0701156,29.9499323,"New Orleans, Orleans Parish, Louisiana, United States",6
-88.9524151,39.8454163,"Decatur, Macon County, Illinois, United States",1
-86.12147145723684,39.9545158,"1, Echo Crest, Carmel, Hamilton County, Indiana, United States",1
25.5908333,-33.8022222,"Motherwell, Nelson Mandela Bay Ward 58, Motherwell, Nelson Mandela Bay Metropolitan Municipality, Eastern Cape, South Africa",1
-74.378222,39.570903,"Mirror Lake Drive, Fairwinds, Little Egg Harbor Township, Ocean County, New Jersey, 08087, United States",1
-116.36936983394352,33.74079965,"Palm Desert, Riverside County, California, United States",1
-95.3676974,29.7589382,"Houston, Harris County, Texas, United States",10
-74.37077809517382,40.81237245,"Way of Pope Pius IV, East Hanover, Morris County, New Jersey, 07936, United States",2
-0.0144629,51.5110713,"Poplar, London Borough of Tower Hamlets, London, Greater London, England, E14 0HH, United Kingdom",2
3.8972497,7.3777462,"Ibadan, Ibadan South West, Oyo, 234102, Nigeria",3
33.9301963,-13.2687204,Malawi,2
144.6780052,-36.5986096,"Victoria, Australia",2
-77.0365427,38.8950368,"Washington, District of Columbia, United States",17
-85.1551411,37.5726028,"Kentucky, United States",3
-94.1018461,30.0860459,"Beaumont, Jefferson County, Texas, United States",1
-92.2895948,34.7464809,"Little Rock, Pulaski County, Arkansas, United States",3
-4.2488787,55.8609825,"Glasgow, Glasgow City, Scotland, G2 9SN, United Kingdom",4
-78.4927721,37.1232245,"Virginia, United States",3
-78.7435517,42.7670376,"Orchard Park, Erie County, New York, 14127, United States",1
127.1058,37.5145,"송파구, 서울, 대한민국",1
-82.2542834,34.7370639,"Simpsonville, Greenville County, South Carolina, United States",1
-83.29398114814815,42.575186,"Bloomfield Township, Oakland County, Michigan, United States",2
-117.5664449,33.8752945,"Corona, Riverside County, California, United States",1
-2.991665,53.407154,"Liverpool, North West England, England, United Kingdom",1
2.1774322,41.3828939,"Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España",1
76.2674136,9.931308,"Kochi, Ernakulam district, Kerala, 682005, India",1
-118.242766,34.0536909,"Los Angeles, Los Angeles County, California, United States",36
51.5264162,25.2856329,"الدوحة, قطر",1
-96.41979,46.652182,"Barnesville, Clay County, Minnesota, 56514, United States",1
-82.6976631,38.5173028,"Russell, Greenup County, Kentucky, United States",1
77.34932051968858,31.81676015,"Himachal Pradesh, India",1
71.7452633,22.3850008,"Gujarat, NH51, Ranpur, Ranpur Taluka, Botad District, Gujarat, 384212, India",1
-96.80077329849314,32.831563,"Highland Park, Dallas County, Texas, 75205, United States",1
-83.5378173,41.6529143,"Toledo, Lucas County, Ohio, United States",1
24.991639,-28.8166236,South Africa,7
-97.3375448,37.6922361,"Wichita, Sedgwick County, Kansas, United States",3
-121.988571,37.5482697,"Fremont, Alameda County, California, United States",1
-2.0813004,52.5998276,"Wednesfield, Wolverhampton, West Midlands Combined Authority, West Midlands, England, WV11 1XU, United Kingdom",1
-3.9360012,56.1181242,"Stirling, Scotland, FK8 2DD, United Kingdom",1
-0.117287,51.5013012,"Lambeth, London Borough of Lambeth, London, Greater London, England, SE1 7GD, United Kingdom",7
9.1905,45.4668,"Milano, Lombardia, Italia",3
-99.5120986,31.8160381,"Texas, United States",9
-83.0407403,39.9797863,"Grandview Heights, Franklin County, Ohio, United States",1
0.1061105,38.8408382,"Dénia, la Marina Alta, Alacant / Alicante, Comunitat Valenciana, España",1
-93.7595281,41.5645337,"West Des Moines, Polk County, Iowa, United States",1
-79.05578,35.9131542,"Chapel Hill, Orange County, North Carolina, United States",1
26.685278,-27.874167,"Odendaalsrus, Matjhabeng Local Municipality, Lejweleputswa District Municipality, Free State, South Africa",1
-96.6925096,33.0136764,"Plano, Collin County, Texas, 75074, United States",1
114.14873730393252,22.2748365,"中西區 Central and Western District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",3
-94.5781416,39.100105,"Kansas City, Jackson County, Missouri, United States",3
120.9809674,14.5907332,"Manila, First District, Metro Manila, Luzon",1
-3.7035825,40.4167047,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España",3
-121.6550372,36.6744117,"Salinas, Monterey County, California, United States",1
76.9896254,29.6803266,"Karnal, Haryana, 132001, India",1
114.1134699,22.3716605,"荃灣 Tsuen Wan, 荃灣區 Tsuen Wan District, 新界 New Territories, 香港 Hong Kong, 中国",2
138.5999312,-34.9281805,"Adelaide, Adelaide City Council, South Australia, Australia",2
-1.404189,50.9025349,"Southampton, South East England, England, United Kingdom",4
-111.9260184,33.4942189,"Scottsdale, Maricopa County, Arizona, United States",1
-80.1433786,26.1223084,"Fort Lauderdale, Broward County, Florida, United States",2
-89.2903392,31.3271189,"Hattiesburg, Forrest County, Mississippi, United States",1
78.6677428,22.3511148,India,3
-123.1912406,49.1977086,"V, Canadian Service Road, Sea Island, Richmond, British Columbia, V7B 1Y7, Canada",3
28.180278,-25.836389,"Centurion, City of Tshwane Metropolitan Municipality, Gauteng, 0014, South Africa",4
98.62466248050262,3.51929155,"Medan Tuntungan, Kota Medan, Sumatera Utara, Indonesia",1
-119.70886126075588,36.7295295,"Fresno, Fresno County, California, United States",3
-81.3885899,28.6619154,"Altamonte Springs, Seminole County, Florida, United States",1
6.083862,50.776351,"Aachen, Städteregion Aachen, Nordrhein-Westfalen, Deutschland",1
13.3888599,52.5170365,"Berlin, 10117, Deutschland",1
72.0,31.0,"پنجاب, پاکستان",3
72.8773928,19.0759899,"Mumbai, Mumbai Suburban, Maharashtra, India",13
-74.0581744671382,4.6726615,"D C , Carrera 19B, UPZ Chicó Lago, Localidad Chapinero, Bogotá, Bogotá Distrito Capital, Región Andina, 11001, Colombia",3
0.5928194,51.1404328,"Frittenden, Tunbridge Wells, Kent, South East England, England, TN17 2DN, United Kingdom",1
1.2100682,52.6592947,"Costessey, South Norfolk, Norfolk, East of England, England, NR8, United Kingdom",1
-83.0007065,39.9622601,"Columbus, Franklin County, Ohio, United States",5
-81.4639835,27.7567667,"Florida, United States",16
-92.5833939,40.1948848,"Kirksville, Adair County, Missouri, 63501, United States",1
-0.2057437,5.5600141,"Accra Metropolitan, Greater Accra Region, Ghana",9
0.0288941,52.6423352,"Murrow, Fenland, Cambridgeshire, East of England, England, PE13 4HB, United Kingdom",1
31.045686,-17.831773,"Harare, Harare Province, 04-263, Zimbabwe",1
-118.4912273,34.0194704,"Santa Monica, Los Angeles County, California, United States",3
137.5758835898874,-33.0502707,"Whyalla, The Corporation of the City of Whyalla, South Australia, 5600, Australia",1
-92.5617875,38.7604815,"Missouri, United States",3
-0.9111593,51.7013543,"Chinnor, South Oxfordshire, Oxfordshire, South East England, England, OX39 4PZ, United Kingdom",1
7.4143061,6.5536094,"Enugu, Nigeria",1
1.1526345,52.0579495,"Ipswich, Suffolk, East of England, England, United Kingdom",1
17.3231107,-23.2335499,Namibia,1
-87.6244212,41.8755616,"Chicago, Cook County, Illinois, United States",14
-119.6456844,36.3274502,"Hanford, Kings County, California, 93230, United States",1
-115.1188894,36.1299779,"Winchester, Clark County, Nevada, United States",1
7.0188527,4.7676576,"Port-Harcourt, Rivers, Nigeria",2
-116.8537227,39.5158825,"Nevada, United States",1
-106.464634,31.7754152,"El Paso, El Paso County, Texas, United States",2
101.7094012,2.8008619,"Sepang, Selangor, Malaysia",1
38.6521203,10.2116702,"ኢትዮጵያ / Ethiopia, ኢትዮጵያ",2
-82.23621545220522,27.9484265,"Valrico, Hillsborough County, Florida, 33601, United States",1
-97.10562379033699,32.701938999999996,"Arlington, Tarrant County, Texas, United States",1
69.0,25.5,"سندھ, پاکستان",2
-73.7976337,40.7498243,"Queens, Queens County, New York, United States",7
-39.8482555,-18.7156342,"São Mateus, Espírito Santo, Região Sudeste, 29930-360, Brasil",1
-3.1633228,54.6017785,"Portinscale, Allerdale, Cumbria, North West England, England, CA12 5RJ, United Kingdom",1
54.5643516,32.6475314,ایران,1
-74.0776417,40.7281575,"Jersey City, Hudson County, New Jersey, United States",1
-79.3839347,43.6534817,"Toronto, Golden Horseshoe, Ontario, Canada",15
-81.1269982,29.4749927,"Flagler Beach, Flagler County, Florida, United States",1
121.5636796,25.0375198,"臺北市, 臺灣",5
-75.01636886281992,40.763173,"Brass Castle, Warren County, New Jersey, United States",1
-9.517401092833236,52.14533445,"County Kerry, Munster, Éire / Ireland",2
80.25133809992252,13.072309650000001,"Egmore - Nungambakkam Taluk Office, Mayor Ramanathan Road (Spur Tank Road), Chetpet, Ward 61, Zone 5 Royapuram, Chennai, Chennai District, Tamil Nadu, 600 006, India",2
-122.6851301,45.522469,"Cassidy's, 1331, Southwest Washington Street, Downtown, Portland, Metro, Multnomah County, Oregon, 97205, United States",1
74.3141829,31.5656822,"لاہور, پنجاب, 531, پاکستان",1
-74.2907042,41.0053753,"Pompton Lakes, Passaic County, New Jersey, United States",1
101.6756275,2.8680243,"Dengkil, Sepang, Selangor, 43800, Malaysia",1
21.01044629540788,52.24347075,"Teatr Wielki, Niecała, Za Żelazną Bramą, Śródmieście Północne, Śródmieście, Warszawa, województwo mazowieckie, 00-094, Polska",1
76.5120396,10.3528744,"Kerala, India",1
-81.0309432,31.9488268,"Skidaway Island, Chatham County, Georgia, 31411, United States",1
-76.1135926,43.1757259,"NY 31, Town of Cicero, Onondaga County, New York, 13039, United States",1
84.9143193,26.6476203,"Motihari, Purba Champaran, Bihar, India",1
-89.7348497,32.9715645,"Mississippi, United States",1
101.833333,3.083333,"Hulu Langat, Selangor, Malaysia",1
114.23359377341592,22.2730777,"東區 Eastern District, 香港島 Hong Kong Island, 香港 Hong Kong, 中国",2
-73.9598939,40.7896239,"Manhattan, New York County, New York, United States",23
27.8876177,-13.0214171,"Copperbelt Province, Zambia",1
36.7768966,-1.2573753,"Kabete, Westlands Red Hill Road, Lavington, Nairobi, P  O  BOX 66831, Kenya",1
-78.6390989,35.7803977,"Raleigh, Wake County, North Carolina, United States",5
-77.3947693,18.1850507,Jamaica,4
-74.0060152,40.7127281,"New York, United States",5
77.2090057,28.6138954,"New Delhi, Delhi, India",19
80.7137847,7.5554942,ශ්‍රී ලංකාව இலங்கை,2
112.87832224656043,31.15172525,"湖北省, 中国",2
-122.3300624,47.6038321,"Seattle, King County, Washington, United States",4
-62.721923,17.3172287,"V, Edgar Bridgewater Street, Lower New Road, New Road, Saint George Basseterre, Saint Kitts, 00265, Saint Kitts and Nevis",1
13.0464806,47.7981346,"Salzburg, 5020, Österreich",2
-89.0389956,42.3472406,"Machesney Park, Winnebago County, Illinois, 61115, United States",1
-3.3204149,51.5644042,"Church Village, Rhondda Cynon Taf, Cymru / Wales, CF38 1RE, United Kingdom",1
-118.1444779,34.1476452,"Pasadena, Los Angeles County, California, United States",2
-111.763275,34.395342,"Arizona, United States",7
91.753943,26.1805978,"Guwahati, Assam, Kamrup Metropolitan, 781015, India",3
-77.7278831,40.9699889,"Pennsylvania, United States",7
116.3912757,39.906217,"北京市, 100051, 中国",4
58.3829448,23.5882019,"مسقط, عمان",1
77.76822875372174,29.000652549999998,"Meerut, Uttar Pradesh, India",1
-115.148516,36.1672559,"Las Vegas, Clark County, Nevada, United States",8
36.826061224105075,-1.3031689499999999,"Nairobi, Kenya",13
-76.4779117,42.4840418,"Lansing, Lansing Town, Tompkins County, New York, United States",1
-77.45342297783296,38.95226625,"Washington Dulles International Airport, Loudoun County, Virginia, United States",1
3.3941795,6.4550575,"Lagos, Lagos Island, Lagos, 100242, Nigeria",13
-94.1146804,41.9449834,"Berkley, Boone County, Iowa, United States",1
147.2869493,-31.8759835,"New South Wales, Australia",1
-82.6881395,40.2253569,"Ohio, United States",4
90.4126466,23.810651,"ঢাকা, Chanpara Bazar, ঢাকা জেলা, ঢাকা বিভাগ, 1230, বাংলাদেশ",2
-115.1734142,36.1150858,"Paradise, Clark County, Nevada, United States",3
103.8520359,1.2904753,"Singapore, Central, 178957, Singapore",1
-118.689423,34.035591,"Malibu, Los Angeles County, California, 90265-4797, United States",1
100.4930399,13.7544238,"กรุงเทพมหานคร, แขวงพระบรมมหาราชวัง, เขตพระนคร, กรุงเทพมหานคร, 10200, ประเทศไทย",1
104.0289955,1.1075273,"Sukajadi, Batam, Kepulauan Riau, 29462, Indonesia",1
-117.8259819,33.6856969,"Irvine, Orange County, California, United States",2
-1.0815361,53.9590555,"York, Yorkshire and the Humber, England, YO1 8SG, United Kingdom",2
-81.6287423,28.1067315,"Haines City, Polk County, Florida, United States",1
-112.0741417,33.4484367,"Phoenix, Maricopa County, Arizona, United States",3
-117.1627728,32.7174202,"San Diego, San Diego County, California, United States",5
121.4692071,31.2322758,"上海市, 黄浦区, 上海市, 200001, 中国",1
-122.6741949,45.5202471,"Portland, Metro, Multnomah County, Oregon, United States",5
-8.6821998,41.1806814,"Matosinhos, Porto, Área Metropolitana do Porto, Norte, Portugal",1
100.58538623707426,13.7332845,"แขวงคลองตันเหนือ, เขตวัฒนา, กรุงเทพมหานคร, 10110, ประเทศไทย",1
-1.1973365,53.1447678,"Mansfield, Nottinghamshire, East Midlands, England, United Kingdom",1
-3.1791934,51.4816546,"Cardiff, Cymru / Wales, CF, United Kingdom",4
-1.8604874,53.7229229,"Halifax, Calderdale, West Yorkshire, Yorkshire and the Humber, England, HX1 1TH, United Kingdom",1
-74.6532133,40.2273316,"Hamilton Square, Hamilton Township, Mercer County, New Jersey, 08690, United States",1
114.1628131,22.2793278,"香港島 Hong Kong Island, 香港 Hong Kong, 中国",1
39.2803583,-6.8160837,"Dar es Salaam, Coastal Zone, Tanzania",2
73.0651511,33.6938118,"اسلام آباد, وفاقی دارالحکومت اسلام آباد, 44000, پاکستان",2
-100.4458825,39.7837304,United States,3
153.0234991,-27.4689682,"Brisbane City, Queensland, Australia",4
87.879403,25.7279064,"Sudhani, Lihar, Dubi Subhi, Barsoi, Katihar, Bihar, India",3
-82.0223137,26.4489695,"Sanibel, Lee County, Florida, United States",1
78.4740613,17.360589,"Hyderabad, Bahadurpura mandal, Hyderabad, Telangana, India",4
-113.995267,46.8701049,"Missoula, Missoula County, Montana, United States",1
3.3532040740949824,6.6048591000000005,"Ikeja, Lagos, Nigeria",13
-123.1139529,49.2608724,"Vancouver, District of North Vancouver, British Columbia, Canada",5
-99.8940182,16.8680495,"Acapulco, Acapulco de Juárez, Guerrero, 39300, México",1
-1.2077985,52.7723859,"Loughborough, Charnwood, Leicestershire, East Midlands, England, LE11 5BJ, United Kingdom",1
-91.1453948,38.7535106,"Warren County, Missouri, United States",2
-122.419906,37.7790262,"San Francisco, San Francisco City and County, San Francisco, California, United States",7
-98.4951405,29.4246002,"San Antonio, Bexar County, Texas, United States",7
101.55,3.21,"Sungai Buloh, Shah Alam, Petaling, Selangor, 40160, Malaysia",2
-121.493895,38.5810606,"Sacramento, Sacramento County, California, United States",1
-158.12518450022145,21.571313,"Waialua, Honolulu County, Hawaii, United States",1
77.67662686841793,11.369204400000001,"Erode, Erode District, Tamil Nadu, India",1
103.98904056749512,1.3603914499999998,"Xi, T1 Departure Crescent, Changi, Southeast, 819642, Singapore",1
-83.1137366,32.3293809,"Georgia, United States",5
-118.200981,33.9463456,"South Gate, Los Angeles County, California, United States",1
170.22886435616437,-45.640444200000005,"Dunedin City, Otago, New Zealand / Aotearoa",1
4.6688487,8.8367891,"Kwara, Nigeria",1
-3.9459248,51.6195955,"Swansea, Cymru / Wales, SA1 3BN, United Kingdom",1
-121.890583,37.3361905,"San Jose, Santa Clara County, California, United States",1
119.4124282,-5.1342962,"Makassar, Sulawesi Selatan, Indonesia",2
77.5340719,23.8143419,"Madhya Pradesh, India",1
7.8533226,10.3825318,"Kaduna, Nigeria",2
0.3065856,52.4570345,"Littleport, East Cambridgeshire, Cambridgeshire, East of England, England, CB6 1PL, United Kingdom",1
78.4707309,28.90662,"Amroha, Jyotiba Phule Nagar, Uttar Pradesh, 244221, India",1
139.8396996,34.9743154,"宮城, 館山市, 千葉県, 294-0033, 日本",1
76.0,29.0,"Haryana, India",1
-84.2809332,30.4380832,"Tallahassee, Leon County, Florida, United States",3
-96.8961151,32.9265137,"Farmers Branch, Dallas County, Texas, 75234, United States",2
-77.12423413116392,38.9819845,"Bethesda, Montgomery County, Maryland, United States",1
-86.2820081,35.7730076,"Tennessee, United States",3
-0.12433969968085111,51.4742479,"Stockwell Bus Garage, Binfield Road, Stockwell Park, Stockwell, London Borough of Lambeth, London, Greater London, England, SW4 6ST, United Kingdom",1
-2.160243,53.407901,"Stockport, Greater Manchester, North West England, England, United Kingdom",2
-80.19362,25.7741728,"Miami, Miami-Dade County, Florida, United States",4
-74.0237512,40.7795455,"Union City, Hudson County, New Jersey, 07087, United States",1
73.7684549,26.8105777,"Rajasthan, India",2
151.2164539,-33.8548157,"Sydney, New South Wales, Australia",10
5.22274,7.6232482,"Ado-Ekiti, Ekiti, Nigeria",1
-118.755997,36.7014631,"California, United States",4
139.790859,35.71745,"台東区, 東京都, 日本",1
27.6971358,53.4250605,Беларусь,1
-114.065465,51.0460954,"Calgary, Alberta, Canada",3
135.529697,34.712703,"都島区, 大阪市, 大阪府, 日本",2
126.9827989,37.5806949,"종로구, 서울, 노원구, 대한민국",1
149.7955552,-35.4388907,"Braidwood, Queanbeyan-Palerang Regional Council, New South Wales, 2622, Australia",1
-97.2684063,34.9550817,"Oklahoma, United States",1
9.47905,55.4894999,"Kolding, Kolding Kommune, Region Syddanmark, 6000, Danmark",1
-96.6154471,33.1976496,"McKinney, Collin County, Texas, United States",1
-95.7580048,29.7388418,"Cinco Ranch, Fort Bend County, Texas, United States",1
-0.0672892,51.5976955,"Tottenham, London Borough of Haringey, London, Greater London, England, N17 9TR, United Kingdom",2
104.999927,35.000074,中国,2
-90.0516285,35.1490215,"Memphis, Shelby County, Tennessee, United States",1
-85.805386,30.1765914,"Panama City Beach, Bay County, Florida, United States",1
-77.0027671,41.2493292,"Williamsport, Lycoming County, Pennsylvania, 17701, United States",1
-1.5024159231529952,55.1111723,"South Shore, Crofton, Newsham, Blyth, Northumberland, North East England, England, United Kingdom",1
-0.0925416,51.4745706,"Camberwell, London Borough of Southwark, London, Greater London, England, SE5 7BU, United Kingdom",4
-118.6228656,34.4888822,"Castaic, Los Angeles County, California, 91384, United States",1
38.4313975,1.4419683,Kenya,1
101.70661936873648,2.74475915,"Lapangan Terbang Antarabangsa Kuala Lumpur, Jalan Pekeliling KLIA, Sepang, Selangor, 64000, Malaysia",2
80.9346001,26.8381,"Lucknow, Sadar, Lucknow, Uttar Pradesh, 226019, India",4
-96.7968559,32.7762719,"Dallas, Dallas County, Texas, United States",5
-84.1457505,33.8062166,"Stone Mountain, DeKalb County, Georgia, 30087, United States",1
-2.8824103,53.0784893,"Holt, Wrexham, Cymru / Wales, LL13 9YN, United Kingdom",1
-118.111975,34.0159398,"Montebello, Los Angeles County, California, United States",1
-90.0348139,34.9553719,"Horn Lake, DeSoto County, Mississippi, 38637, United States",1
-117.911732,33.8347516,"Anaheim, Orange County, California, United States",2
-1.1484577,52.0297607,"Brackley, Northamptonshire, East Midlands, England, NN13 6FY, United Kingdom",1
-80.8430827,35.2272086,"Charlotte, Mecklenburg County, North Carolina, United States",4
-86.8295337,33.2588817,"Alabama, United States",4
6.9359135,43.5439153,"Mandelieu-la-Napoule, Grasse, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France métropolitaine, 06210, France",1
32.5813539,0.3177137,"Kampala Capital City, Kampala, Central Region, Uganda",5
144.9631608,-37.8142176,"Melbourne, City of Melbourne, Victoria, Australia",11
-98.0,18.833333,"Puebla, México",1
-122.85900211842105,38.6298355,"Healdsburg, Sonoma County, California, United States",1
121.04140172358802,14.6476275,"Philippine Children's Medical Center, Quezon Avenue, San Jose, North Triangle, Quezon City, 1st District, Second District, Metro Manila, 1100, Luzon",1
-8.4705942,51.898627,"Cork, County Cork, Munster, Éire / Ireland",3
-2.8796957,53.1563974,"Eccleston, Cheshire West and Chester, North West England, England, CH4 9HZ, United Kingdom",1
-90.7989525,30.0096684,"St  James Parish, Louisiana, United States",1
